rider_class,stage_class,mean,median,std,count
All Rounder,Flat,15.441176470588236,8.0,28.2816714706976,102
All Rounder,Hills,35.786764705882355,12.5,57.459216852539775,136
All Rounder,Mount,67.4235294117647,17.0,88.9558981784136,85
Climber,Flat,5.094202898550725,1.5,6.230239044938148,138
Climber,Hills,21.668478260869566,7.0,45.98448165265008,184
Climber,Mount,35.86086956521739,12.0,57.01998525548274,115
Sprinter,Flat,38.97701149425287,2.5,63.58826681524148,174
Sprinter,Hills,5.202586206896552,0.0,21.950897431414607,232
Sprinter,Mount,2.0413793103448277,0.0,5.88651455785567,145
Unclassed,Flat,5.740579710144927,0.0,19.801356177921974,690
Unclassed,Hills,9.096739130434782,0.0,30.662584910653543,920
Unclassed,Mount,2.951304347826087,0.0,7.9056541008705645,575
